mode,tempC,fan,timer,swing,newlyOn,b64Code
heat,16,auto,off,none,0,JgAGAWs2DgoQDQ4oDgoQKA4NDQ4NDg0oDycOChAODQ4NKA4oDgoQDQ4ODA4NDg0ODQ0ODQ4NDQ4NDg0ODQ0OKA4NDg0NDQ4NDQ4NDg0ODSgOCw8ODQ4NDg0oDigOJw4oDigOJw4oDicPChAODCkOChANDg0NDg0ODQ4NDg0NDigOJw8MDg0NDg0ODQ4NDQ4NDg0NDg0ODQ0ODg0oDgoQDg0ODQ4MDg0ODQ4NDQ4NDQ4NDg0ODQ0ODQ4ODA4NDg0ODQ4NDQ0ODQ4NDg0ODQ4NDA4ODQ4NDg0NDg0NDg0ODQ4NDQ4NDQ4NDg0MDw0ODQ0ODSkODQ0NDg0NDg0pDicODQ0pDQ0OKA4ADQUAAA==
cool,18,auto,off,none,0,JgAGAWw1Dg0NDg0oDg0NKA8MDg0NDg0pDicODQ4NDQ4NKA4oDg0NDg0NDg0NDg0ODg0NDQ4NDQ4NDg0ODQ0OKA4NDQ4NDg0NDg0ODQ0ODicODg0NDQ4NDg0oDigOKA4nDigOJw8nDigODQ0NDigODQ0ODQ0ODQ0ODQ4NDg0NDigOKA4MDg0ODQ0ODQ4NDg0NDigODQ0ODSgOCw8ODQ4ODQ0NDg0NDg0ODQ4NDQ4NDQ4NDg0ODQ0ODQ4NDQ4NDg0NDg0ODQ0ODQ4NDg0NDg0NDg0ODQ4NDQ4NDQ4NDg0ODQ4NDQ4NDQ4ODQ0ODQ0ODQ0ODSkODA4NDSkOJw8nDigODQ0NDg0NKQ4ADQUAAA==
heat,18,quiet,off,none,0,JgAGAWs2DgsQDQ0oDg0NKA8MDg0NDg0oDycOChANDgwPKA4oDgoQChENDQ4NDg0ODg0NDg0NDQ4NDg4LDwsQKA4LDw4NDQ4NDg0NDg0ODSgOCw8ODQ4NDg0oDigOJw8nDigOJw4oDigODA4NDSkOChAMDw0NDg0PDA4NDA8NDigOKA4MDg4MDA8ODQ4NDA8NDigODQ4NDQ0ODQ0pDgoQDQ4NDQ4NDg0ODQ4NKA4NDQ4NDg0NDg0NDg0ODQ4NDQ4ODA4NDg0ODQ0OCxANDQ4NDg0ODQ4NCw8ODQ4NDg0ODQ0NDg4KEA4NDA8LEA0NDg0ODSgOCw8ODQ4ODQ0NDigODQ0MDw4NKA4ADQUAAA==
heat,30,quiet,off,none,0,JgAGAXAyEAsQCxAlEAsQJhAKEQoQCxAmECUQCxALEAsQJRElEAsPDBAKEAsRChALEAsQChEKEQoQCxALEAsPJhALEAsPDBAKEQoQCxALECYQChEKEAsQCxAlESUQJhAlECYQJhAlECYQCxAKESUQCxALEAoQCxALDwwQCxAKESUQJhALEAoQCxALEAsQCw8MECUQJhAlEQoQCxAmEAoRChALDwwQCxAKEAwPJhALDwwQChEKEAsQCw8MEAoRChALEAsQCxAKEQoQCxALEAsQCxAKEQoQCxALEAsQChEKEAsQCxALEAoRChEKEAsQCxALECUQCw8MDwwQChALECYQCxAKESUQJhAADQUAAA==
heat,30,high,off,none,0,JgAGAW4zEAsQChElEAsQJhAKEQoQCxAmECUQCxALEAsQJRElEAsQChEKEQoQCxALEAoRChEKEAsQCxAKEQoRJRALEAsQChEKEQoQCxALECURChALEAsQCxAlESUQJhAlECYQJRElECYQChEKECYQCxAKEQoRChALEAsQChEKESUQJhAKEQoRChALEAsQChEKESUQJhAlEQoQCxAmEAoRChALDwwQChElEAsQCxAKEQoRChALEAsQCxAKEAsRCg8MEAsQChALEQoQCxALEAoQCxEKEAsPDA8MDwwQChEKDwwQCxAKEQoQCxALEAsPDBAKECYQCxALDyYQJhALECURChALECYQJRAADQUAAA==
heat,30,high,off,both,0,JgAGAWw1EAoODg4nEAsNKQ4NDgwPDBAmDicQCw4NDg0OKA4nDg0NDg0ODgwODQ4NDg0NDg0NDwwODQ4NDg0NKBALDQ4ODQ0ODgwPDA4NECYQCg4NDg0QCw0pDyYOKBAlDycQJhAlECYQCg4ODicQCg4ODQ4ODA8MDg0ODQ4NDSgOKBALDQ4ODA4NEAoODg4NDSgQJhAlEAoPDQ4oEAsNDQ4NDg0ODQ0oEAsQCw0ODSgQJhAKEQsNDg4MDg0NDg4NDQ4PChEKEQsNDg4NEAoQCg8NDg0NDg4NDwsODQ0ODg0NDg4MDwwODQ4NDg0QCg4NDigQCxALDSgQJg4NDicQJhAKEQkPKBAADQUAAA==
fan,30,high,off,both,0,JgAGAW8yDg0QCw4oEAoPJxALDQ4ODBAmDigODQ4MEAsQJg4nDwwODRALDQ4QChALDg0ODRALEAoODRALDg0QJg4MDwwQCxALEAsQCg8MECYODRAKDg0ODRAmDicPJw4oDicOKA4oDicODQ4NDicPDA4NDg0QCw0NDwwQCw4NDigOJw4NDg0ODQ4MEAsODQ4NDicPJw4oDicPJw4NEAsNDQ8MDg0QCw0oDwwQCxALDSkQJQ4NDg0PDA4MEAsQCxALDg0QCg4NEAsQCw0ODg0QCg4NDg0ODQ4NEAkPDQ4NEAsODRAKDg0QCxALDQ4ODRAKDigODRALEAoPDBAmECYOJw4NEAsNKA4ADQUAAA==
dry,30,high,off,both,0,JgAGAW00Dg0ODQ4nDg0OKA4NDgwODQ4oDicPDA4NDg0OJw8nDg0ODQ4NDgwODQ4NDg0ODQ4MDwwODQ4NDg0OJw4NDg0ODQ4NDgwODQ4NDigODA8MDg0ODQ4nDycOKA4nDigOKA4nDigODQ4MDycODQ4NDg0ODA4NDg0ODQ4NDicOKA4NDgwPDA4NDg0ODQ4NDicOKA4nDwwOKA4NDgwPDA4NDg0ODQ4NDg0NDQ4NDigOJw4NDg0ODQ4MDwwODQ4NDg0ODQ4MDwwODQ4NDg0ODA8MDg0ODQ4NDg0ODA4NDg0ODQ4NDgwPDA4NDg0ODQ4MDycODQ4NDg0OJw4oDicPJw4NDg0OJw4ADQUAAA==
auto,30,high,off,both,0,JgAGAWw1Dg0ODQ4nDwwOKA4NEAoODQ4oDicPDA4NDg0OKA4nDg0ODQ4NEAoODQ4NDg0ODQ8MDgwODQ4NDg0OJw8MEAsNDg4NDgwPDA4NDigODQ4MDg0ODQ4oDicOKA4nDycQJhAlECYODQ4NDicODQ4NDg0ODQ4MEAsODQ4NDicPJw4NDg0ODA8MDg0ODQ4NDicQJg4oDgwPDA4NDg0ODQ4MDwwODQ4oDgwPDA4NDigOJw8MDg0ODQ4NDgwPDBALEAsODQ4NDgwODQ4NDg0ODQ4MDwwODQ4NDg0ODA8MDg0ODQ4NDg0NDQ4NDg0ODQ4NDicODQ4NDicPJg8oDicOKA4NDg0OJw4ADQUAAA==




